titles,released,developers,publishers,genres
The Sims 2: Nightlife,2005,Maxis,EA Games,"Role-playing (RPG), Simulator, Strategy, Adventure"
The Sims 2: Open for Business,2006,Maxis,EA Games,"Role-playing (RPG), Simulator, Strategy, Adventure"
The Sims 2: Pets,2006,Maxis,EA Games,"Simulator, Strategy"
The Sims 2: Seasons,2007,Maxis,EA Games,"Role-playing (RPG), Simulator, Strategy, Adventure"
The Sims 2: University,2005,Maxis,EA Games,"Role-playing (RPG), Simulator, Strategy, Adventure"
The Sims 3,2009,Electronic Arts,Electronic Arts,"Role-playing (RPG), Simulator, Strategy, Adventure"
The Sims Castaway Stories,2008,EA Games,EA Games,"Simulator, Strategy"
The Sims Life Stories,2007,EA Games,EA Games,Role-playing (RPG)
The Sims Online,2002,Maxis,Electronic Arts,"Role-playing (RPG), Simulator"
The Sims Pet Stories,2007,EA Games,EA Games,"Simulator, Strategy"
The Sims: Hot Date,2001,Maxis,Electronic Arts,"Role-playing (RPG), Simulator, Strategy, Adventure"
The Sims: Livin Large,2000,Maxis,Electronic Arts,"Role-playing (RPG), Simulator, Sport, Strategy, Adventure"
SimSafari,1998,"Electronic Arts, Maxis",Maxis,Strategy
SimTower,1994,"OPeNBooK Co., Ltd.",Maxis,"Simulator, Strategy"
SimTown,1995,Maxis,Maxis,Simulator
SimTunes,1996,Maxis,Maxis,"Music, Simulator"
Sin,1998,Ritual Entertainment,Activision,Shooter
SiN Episodes,2006,Ritual Entertainment,Valve,"Strategy, Indie"
SiN: Reloaded,2021,Nightdive StudiosSlipgate IronworksRitual Entertainment,3D RealmsNightdive Studios,Shooter
SiN: Wages of Sin,1999,"2015, Inc.",Activision,Shooter
Singles: Flirt Up Your Life,2003,Rotobee,Deep Silver,Simulator
Singles 2: Triple Trouble,2005,Rotobee,Deep Silver,Simulator
Singularity,2010,Raven Software,Activision,Indie
Sinking Island,2007,White Birds Productions,Microids/Encore Games,"Point-and-click, Adventure"
Sins of a Solar Empire,2008,Ironclad Games,Stardock,"Strategy, Indie"
Six Days in Fallujah,2010,Atomic Games,Atomic Games,"Shooter, Tactical"
Skateboard Park Tycoon,2001,Cat Daddy Games,Activision,"Simulator, Sport"
Ski Park Manager,2002,Lankhor,Microids,"Simulator, Sport"
Ski Resort Extreme,2004,Cat Daddy Games,Global Star Software,"Simulator, Strategy"
Ski Resort Tycoon,2001,Cat Daddy Games,Activision Value,"Simulator, Strategy, Indie"
Ski Resort Tycoon II,2001,Cat Daddy Games,Activision Value,"Simulator, Sport, Strategy"
SkiFree,2005,Chris Pirih,Microsoft,"Sport, Arcade"
Slave Zero,1999,Accolade,"Atari, Infogrames",Shooter
Slipstream 5000,1995,The Software Refinery,Gremlin Interactive,"Shooter, Racing, Sport"
Smokin Guns,2009,"Smokin Guns Productions, Iron Claw Interactive",,Shooter
Snake Pass,2017,Sumo Digital,Sumo Digital,"Platform, Puzzle, Simulator, Adventure, Indie, Arcade"
Sniper Elite,2005,Rebellion Developments,Atari,"Shooter, Tactical, Adventure"
Sniper: Ghost Warrior,2010,City Interactive,City Interactive,"Shooter, Tactical"
Snood,1996,David M. Dobson,Snood World,Puzzle
Snoopy vs. the Red Baron,2006,Smart Bomb Interactive,Namco Bandai Games America,Simulator
Snow,2003,Studio Mebius,Studio Mebius,Visual Novel
So Blonde,2008,Wizarbox,Eidos Interactive,"Racing, Sport, Arcade"
SODA Off-Road Racing,1997,Software Allies,Sierra Entertainment,"Racing, Simulator"
Solar Crusade,1996,Infogrames,Infogrames,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
Soldat,2002,"Nick ""EnEsCe"" Cooper, Michal Marcinkowski",,Strategy
Soldier of Fortune,2000,Raven Software,Activision,Shooter
Soldier of Fortune II: Double Helix,2002,Raven Software,Activision,Shooter
Soldier of Fortune: Payback,2007,Cauldron HQ,Activision Value,Shooter
Soldiers at War,1998,Random Games,"Strategic Simulations, Inc.","Shooter, Simulator"
Soldiers: Heroes of World War II,2004,Best Way,Codemasters,"Real Time Strategy (RTS), Strategy, Tactical"
Söldner: Secret Wars,2004,Wings Simulations,JoWood Productions,"Shooter, Tactical"
Sonic & Knuckles Collection,1997,Sonic Team,Sega,Platform
Sonic 3D,1997,"Travellers Tales, Sega",Sega,Platform
Sonic Adventure 2,2012,Sonic Team,Sega,"Platform, Adventure"
Sonic Adventure DX: Directors Cut,1998,Sonic Team,Sega,"Platform, Racing, Adventure"
Sonic Dash,2014,Hardlight,Sega,"Platform, Arcade"
Sonic Dreams Collection,2015,Arcane Kids,Arcane Kids,"Simulator, Adventure, Indie"
Sonic Forces,2017,Sonic Team,Sega,"Platform, Arcade"
Sonic Generations,2011,Devils Detail,Sega,"Platform, Adventure"
Sonic Heroes,2003,Sega Studio USA,Sega,Sport
Sonic Lost World,2015,"Sonic Team, Sega of Europe",Sega,"Platform, Adventure"
Sonic Mania,2017,"Headcannon, PagodaWest Games",Sega,Indie
Sonic Mega Collection,2002,"Sonic Team, VR-1 Japan, Inc., Comolink Inc.",Sega,"Platform, Arcade"
Sonic R,1997,Travellers Tales,Sega,"Platform, Adventure"
Sonic Riders,2006,Sonic Team,Sega,"Racing, Adventure"
Sonic the Hedgehog,2010,Sonic Team,Sega,"Platform, Adventure"
Sonic the Hedgehog 2,2011,Sonic Team,Sega,"Platform, Adventure"
Sonic the Hedgehog 4: Episode I,2010,"Dimps, Sonic Team",Sega,"Platform, Adventure, Arcade"
Sonic the Hedgehog 4: Episode II,2012,"Dimps, Sonic Team",Sega,"Platform, Adventure, Arcade"
Sonic CD,1996,"Sonic Team, Sega PC",Sega,Adventure
Sonic CD,2012,Christian Whitehead,Sega,Adventure
Sonics Schoolhouse,1996,Orion Interactive,Bap Interactive,Puzzle
Sorry!,1998,Hasbro Interactive,Third-I Productions,"Strategy, Card & Board Game"
Soul Link,2004,Navel,Navel,Adventure
Soul of the Ultimate Nation,2007,Webzen,"Webzen, The9, NHN, ijji",Role-playing (RPG)
Soulbringer,2000,Infogrames,Interplay Entertainment,"Role-playing (RPG), Adventure"
Soul Reaver 2,2001,Crystal Dynamics,Eidos Interactive,Adventure
SourceForts,2005,SourceForts Mod Team,,"Shooter, Tactical"
South Park,1998,Iguana Entertainment,Acclaim Entertainment,Racing
South Park: Chefs Luv Shack,1999,Acclaim Entertainment,Acclaim Entertainment,"Puzzle, Quiz/Trivia"
South Park Rally,1999,Tantalus Interactive,Acclaim Entertainment,Racing
Space Ace,2007,Digital Leisure Inc.,1C Company,Shooter
The Space Bar,1997,Boffo Games,"Rocket Science Games, SegaSoft",Indie
Space Chimps,2008,Wicked Witch Software,Brash Entertainment,"Platform, Adventure"
Space Colony,2003,Firefly Studios,Gathering of Developers,Indie
Space Combat,2004,Laminar Research,Laminar Research,Simulator
SpaceChem,2011,Zachtronics Industries,Zachtronics Industries,"Puzzle, Simulator, Strategy, Indie"
Space Empires III,1997,Malfador Machinations,Malfador Machinations,Strategy
Space Empires IV,2000,Malfador Machinations,"Shrapnel Games, Strategy First","Strategy, Turn-based strategy (TBS)"
Space Empires V,2006,Malfador Machinations,Strategy First,"Simulator, Strategy"
Space Empires: Starfury,2003,Malfador Machinations,Shrapnel Games,"Simulator, Strategy"
Space Giraffe,2007,Llamasoft,Llamasoft,Indie
Space Girl,1998,Realtech VR,"Titus Interactive, ANOZOR",Indie
Space Hulk: Vengeance of the Blood Angels,1995,Key Game,Electronic Arts,"Real Time Strategy (RTS), Strategy, Tactical"
Space Pirates,2008,"American Laser Games, Inc.",1C Company,"Shooter, Arcade"
Space Rangers,2002,Elemental Games,"1C Company, Micro Application","Role-playing (RPG), Simulator, Strategy, Turn-based strategy (TBS), Adventure, Arcade"
Space Rangers 2: Dominators,2004,Elemental Games,1C Company,"Real Time Strategy (RTS), Role-playing (RPG), Simulator, Strategy, Turn-based strategy (TBS), Arcade"
Space Shuttle Mission 2007,2008,Exciting Simulations,Simsquared Ltd.,Simulator
Space Siege,2008,Gas Powered Games,Sega,Role-playing (RPG)
Spaceward Ho!,1990,Delta Tao Software,Delta Tao Software,"Shooter, Simulator, Strategy, Arcade"
The Specialists,2002,The Specialists mod team,,Strategy
Spectromancer,2008,"Apus Software, Three Donkeys LLC","Apus Software, Three Donkeys LLC","Strategy, Indie"
Speed Challenge: Jacques Villeneuves Racing Vision,2002,Ubisoft,Ubisoft,"Racing, Simulator"
Speed Demons,1999,EMG,Microids,Racing
Speed Devils,1999,Ubisoft,Ubisoft,Racing
Speedball 2 Tournament,2007,Kylotonn,Frogster Interactive Pictures,Sport
Spellbound!,1998,The Learning Company,The Learning Company,Indie
Spellcross,1998,Cauldron Ltd.,JRC Interactive,Turn-based strategy (TBS)
SpellForce: The Breath of Winter,2004,Phenomic Game Development,JoWood Productions,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
SpellForce: The Order of Dawn,2003,Phenomic Game Development,"Encore, Inc.","Real Time Strategy (RTS), Role-playing (RPG), Strategy"
SpellForce: Shadow of the Phoenix,2005,Phenomic Game Development,JoWood Productions,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
SpellForce 2: Dragon Storm,2007,Phenomic,JoWood Productions,"Real Time Strategy (RTS), Role-playing (RPG), Strategy"
SpellForce 2: Shadow Wars,2006,Phenomic,"JoWood Productions, Aspyr Media","Real Time Strategy (RTS), Role-playing (RPG), Strategy"
Spelunky,2008,Derek Yu,Independent,"Platform, Puzzle, Indie"
Spider-Man,2000,Neversoft,Activision,"Adventure, Arcade"
Spider-Man,2002,"Treyarch, Digital Eclipse Software",Activision,"Adventure, Arcade"
Spider-Man 2,2004,"Treyarch, The Fizz Factor, Vicarious Visions, Digital Eclipse, Backbone Entertainment, Aspyr Media",Activision,Platform
Spider-Man: Friend or Foe,2007,Beenox,Activision,"Platform, ""Hack and slash/Beat em up"", Adventure"
Spider-Man: Web of Shadows,2008,Amaze Entertainment,Activision,"Fighting, Platform, ""Hack and slash/Beat em up"", Adventure"
The Spiderwick Chronicles,2008,Stormfront Studios,Sierra Entertainment,Adventure
Split/Second,2010,Black Rock Studio,Disney Interactive Studios,Racing
SpongeBob SquarePants Movie,2004,AWE Games,THQ,Racing
SpongeBob SquarePants: Battle for Bikini Bottom,2003,"AWE Games, Heavy Iron Studios, Vicarious Visions",THQ,"Platform, Adventure"
SpongeBob SquarePants: Employee of the Month,2002,AWE Games,THQ,"Point-and-click, Adventure"
"SpongeBob SquarePants: Lights, Camera, Pants!",2005,"AWE Games, THQ Studio Australia, WayForward Technologies",THQ,Music
SpongeBob SquarePants: Operation Krabby Patty,2001,AWE Games,THQ,Adventure
Spore,2008,Maxis,Electronic Arts,Real Time Strategy (RTS)
Spore Creature Creator,2008,Maxis,Electronic Arts,Simulator
Spore Galactic Adventures,2009,Maxis,Electronic Arts,"Simulator, Strategy, Adventure"
Sports Car GT,1999,Image Space Incorporated,Electronic Arts,Racing
SpyHunter,2001,"Paradigm Entertainment, Point of View, Inc., Sidhe Interactive",Midway Games,Racing
SpyHunter 2,2003,Angel Studios,Midway Games,Racing
Spycraft: The Great Game,1996,Activision,Activision,Adventure
Stacked with Daniel Negreanu,2006,5000ft,Myelin Media,"Simulator, Sport, Turn-based strategy (TBS)"
Stair Dismount,2002,Jetro Lauha,tAAt,Simulator
Stalin vs. Martians,2009,Black Wing Foundation,Paradox Interactive,"Real Time Strategy (RTS), Strategy"
Stalingrad,2005,DTF Games,"BlackBean Games, 1C Games",Simulator
Star General,1996,Catware,Strategic Simulations,Strategy
Star Trek Generations,1997,Microprose,Microprose,"Point-and-click, Simulator, Strategy, Adventure"
Star Trek Online,2010,Cryptic Studios,Atari,Role-playing (RPG)
Star Trek: Armada,2000,"Activision, Mad Doc Software",Activision,"Real Time Strategy (RTS), Strategy"
Star Trek: Armada II,2001,Mad Doc Software,Activision,"Real Time Strategy (RTS), Strategy"
Star Trek: Away Team,2001,Reflexive Entertainment,Activision,"Strategy, Turn-based strategy (TBS)"
Star Trek: Borg,1996,Simon & Schuster,Simon & Schuster,"Real Time Strategy (RTS), Strategy"
Star Trek: Bridge Commander,2002,Totally Games,Activision,"Simulator, Strategy, Tactical, Adventure"
Star Trek: ConQuest Online,2000,Genetic Anomalies,Activision Publishing,Strategy
Star Trek: Deep Space Nine: Dominion Wars,2001,Gizmo Games,Simon & Schuster,"Real Time Strategy (RTS), Simulator, Strategy, Tactical, Adventure"
Star Trek: Deep Space Nine: The Fallen,2000,The Collective,Simon & Schuster,Shooter
Star Trek: Elite Force II,2003,Ritual Entertainment,Activision,"Shooter, Puzzle"
Star Trek: Hidden Evil,1999,Presto Studios,Activision,"Shooter, Adventure"
Star Trek: Klingon Academy,2000,14 Degrees East,Interplay Entertainment,Simulator
Star Trek: Legacy,2006,Mad Doc Software,Bethesda Softworks,Role-playing (RPG)
Star Trek: New Worlds,2000,14 Degrees East,Interplay Entertainment,"Real Time Strategy (RTS), Strategy"
Star Trek: Starfleet Academy,1997,"StarFleet Academy Software, Interplay, High Voltage Software",Interplay Entertainment,Simulator
Star Trek: Starfleet Command,1999,Interplay Entertainment,Interplay Entertainment,Strategy
Star Trek: Starfleet Command II: Empires at War,2000,Taldren,Interplay Entertainment,Strategy
Star Trek: Starfleet Command III,2002,Taldren,Activision,"Real Time Strategy (RTS), Simulator, Strategy"
Star Trek: Starfleet Command: Orion Pirates,2001,Taldren,Interplay Entertainment,Strategy
Star Trek: Starship Creator,1998,Imergy,Simon & Schuster,"Simulator, Adventure"
Star Trek: The Next Generation: Birth of the Federation,1999,Microprose,Hasbro,"Shooter, Strategy"
Star Trek: The Next Generation: Klingon Honor Guard,1998,MicroProse,MicroProse,Shooter
Star Trek: Voyager – Elite Force,2000,Raven Software,Activision,Shooter
Star Warped,1997,Parroty Interactive,Palladium Interactive,Adventure
Star Wars Episode I: Racer,1999,LucasArts,LucasArts,Racing
Star Wars Episode I: The Phantom Menace,1999,Big Ape Productions,LucasArts,Adventure
Star Wars Galaxies,2003,Sony Online Entertainment,LucasArts,Adventure
Star Wars Galaxies: Jump to Lightspeed,2004,Sony Online Entertainment,LucasArts,"Role-playing (RPG), Simulator"
Star Wars Jedi: Fallen Order,2019,Respawn Entertainment,Electronic Arts,Adventure
Star Wars Jedi Knight II: Jedi Outcast,2002,"Raven Software, Vicarious Visions","LucasArts, Activision, Aspyr Media, CyberFront","Shooter, Adventure"
Star Wars Jedi Knight: Dark Forces II,1997,LucasArts,LucasArts,Shooter
Star Wars Jedi Knight: Jedi Academy,2003,Raven Software,"LucasArts, Activision","Shooter, Adventure"
Star Wars Jedi Knight: Mysteries of the Sith,1998,LucasArts,LucasArts,Shooter
Star Wars: Battlefront,2004,Pandemic Studios,LucasArts,Shooter
Star Wars: Battlefront II,2005,Pandemic Studios,LucasArts,Shooter
Star Wars: Empire at War,2006,Petroglyph Games,LucasArts,"Role-playing (RPG), Simulator, Adventure"
Star Wars: Empire at War: Forces of Corruption,2006,Petroglyph,LucasArts,"Real Time Strategy (RTS), Strategy"
Star Wars: Episode I: Battle for Naboo,2000,"Factor 5, LucasArts",LucasArts,Shooter
Star Wars: Force Commander,2000,"LucasArts, Ronin Entertainment",LucasArts,"Real Time Strategy (RTS), Strategy"
Star Wars: Galactic Battlegrounds,2001,"LucasArts, Ensemble Studios",LucasArts,"Real Time Strategy (RTS), Simulator, Strategy"
Star Wars: Knights of the Old Republic,2003,BioWare,LucasArts,"Role-playing (RPG), Strategy, Adventure"
Star Wars: Knights of the Old Republic II – The Sith Lords,2004,Obsidian Entertainment,LucasArts,"Role-playing (RPG), Strategy, Adventure"
Star Wars: Rebellion,1998,Coolhand Interactive,LucasArts,Shooter
Star Wars: Republic Commando,2005,LucasArts,"LucasArts, Activision","Shooter, Strategy"
Star Wars: Rogue Squadron,1998,"Factor 5, LucasArts",LucasArts,"Adventure, Arcade"
Star Wars: Shadows of the Empire,1997,LucasArts,LucasArts,"Shooter, Adventure"
Star Wars: Starfighter,2001,LucasArts,LucasArts,Shooter
Star Wars: The Clone Wars – Republic Heroes,2009,Krome Studios,LucasArts,"Shooter, Adventure"
Star Wars: The Force Unleashed,2008,LucasArts,LucasArts,"Role-playing (RPG), ""Hack and slash/Beat em up"", Adventure"
Star Wars: The Old Republic,2011,BioWare,LucasArts,Role-playing (RPG)
Star Wars: TIE Fighter,2001,Totally Games,LucasArts,Simulator
Star Wars: TIE Fighter (Collectors CD-ROM),2001,Totally Games,LucasArts,"Shooter, Simulator"
Star Wars: X-Wing Alliance,1999,Totally Games,LucasArts,"Shooter, Simulator"
Star Wars: X-Wing vs. TIE Fighter,1997,Totally Games,LucasArts,Simulator
Star Wars: Yoda Stories,1997,LucasArts,LucasArts,"Puzzle, Adventure"
Star Wolves,2004,X-bow Software,1C Company,Strategy
StarCraft,1998,Blizzard Entertainment,"Blizzard Entertainment, Sierra Entertainment","Shooter, Adventure"
StarCraft: Brood War,1998,"Saffire, Blizzard Entertainment","Blizzard Entertainment, Sierra Entertainment","Real Time Strategy (RTS), Strategy"
StarCraft II: Heart of the Swarm,2013,Blizzard Entertainment,Blizzard Entertainment,"Real Time Strategy (RTS), Strategy"
StarCraft II: Legacy of the Void,2015,Blizzard Entertainment,Blizzard Entertainment,"Real Time Strategy (RTS), Strategy"
StarCraft II: Wings of Liberty,2010,Blizzard Entertainment,Blizzard Entertainment,"Real Time Strategy (RTS), Strategy"
Stargate Worlds,2009,Cheyenne Mountain Entertainment,FireSky,Role-playing (RPG)
Starlancer,2000,Digital Anvil,Microsoft,Simulator
StarPeace,2000,Oceanus Communications,"Monte Cristo Multimedia, Oceanus Communications, Sega, Pugland, SPO Team","Simulator, Strategy"
Stars!,1995,"Jeff Johnson, Jeff McBride",Empire Interactive,"Shooter, Arcade"
Starscape,2004,Moonpod,Moonpod,"Shooter, Strategy, Indie"
Starshatter: The Gathering Storm,2006,Destroyer Studios,Matrix Games,Simulator
Starship Titanic,1998,The Digital Village,Simon & Schuster Interactive,Adventure
Starship Troopers,2005,Strangelite,Empire Interactive,Simulator
Starship Troopers: Terran Ascendancy,2000,Blue Tongue Entertainment,Microprose,Strategy
Starsiege,1999,Dynamix,Dynamix,"Shooter, Strategy"
Starsky & Hutch,2003,Minds Eye Productions,Empire Interactive,Racing
Startopia,2001,Mucky Foot Productions,Eidos Interactive,"Simulator, Strategy"
State of Emergency,2002,VIS Entertainment,Rockstar Games,"""Hack and slash/Beat em up"", Adventure"
State of War,2001,Cypron Studios,Crystal Interactive,"Simulator, Strategy"
Stay Tuned for Danger,1999,Her Interactive,DreamCatcher,Adventure
STCC – The Game,2008,SimBin Studios,Atari,Racing
Steel Panthers: World at War,2000,Matrix Games,Matrix Games,Strategy
Steer Madness,2004,Veggie Games Inc,Veggie Games Inc,Adventure
Steins;Gate,2010,"5pb., Nitroplus",5pb.,"Adventure, Visual Novel"
Steins;Gate 0,2016,5pb.,5pb.,"Adventure, Visual Novel"
Steins;Gate Elite,2019,5pb.,Spike Chunsoft,Visual Novel
Steins;Gate: Linear Bounded Phenogram,2019,5pb.,Spike Chunsoft,"Adventure, Visual Novel"
Steven Spielbergs Directors Chair,1996,Knowledge Adventure,Knowledge Adventure,Simulator
Still Life,2005,Microids,"MC2, The Adventure Company","Puzzle, Adventure, Indie"
Still Life 2,2009,Gameco Studios,Microids,"Puzzle, Adventure"
Stolen,2005,Blue 52,Hip Games,"Simulator, Adventure, Indie"
The Stomping Land,2014,SuperCrit,SuperCrit,"Simulator, Strategy, Adventure, Indie"
Storm: Frontline Nation,2009,Colossai Studios,SimBin Studios,Strategy
Stormrise,2009,The Creative Assembly,Sega,"Real Time Strategy (RTS), Strategy"
Stranger,2008,Fireglow Games,Fireglow Games,"Adventure, Indie"
Stranglehold,2007,Midway Chicago,Midway Games,Shooter
Strategic Command: European Theater,2002,Fury Software,Battlefront.com,Strategy
Strategy Challenges Collection 2: In the Wild,1997,Edmark,"Edmark, The Learning Company","Puzzle, Card & Board Game"
Street Fighter 30th Anniversary Collection,2018,Capcom,Capcom,"Fighting, Arcade"
Street Fighter Alpha,1995,Capcom,Capcom,Fighting
Street Fighter Alpha 2,1996,Capcom,Capcom,"Fighting, Adventure, Arcade"
Street Fighter IV,2008,"Dimps, Capcom",Capcom,"Pinball, Arcade"
Street Racing Syndicate,2004,"Eutechnyx, Streamline Studios",Namco,Racing
Streets of SimCity,1997,Maxis,"Maxis, Electronic Arts","Shooter, Racing"
Strike Fighters: Project 1,2002,Third Wire Productions,Strategy First,Simulator
Strike Fighters 2,2008,Third Wire Productions,Third Wire Productions,Simulator
Strong Bads Cool Game for Attractive People,2008,Telltale Games,Telltale Games,"Point-and-click, Adventure"
Stronghold,2001,Firefly Studios,"Take 2 Interactive, Gathering of Developers","Real Time Strategy (RTS), Simulator, Strategy"
Stronghold 2,2005,Firefly Studios,2K Games,"Simulator, Strategy"
Stronghold Legends,2006,Firefly Studios,2K Games,"Real Time Strategy (RTS), Simulator, Strategy"
Stronghold: Crusader,2002,Firefly Studios,Take 2 Interactive and God Games,"Simulator, Strategy"
Stronghold: Crusader Extreme,2008,Firefly Studios,Gamecock Media Group,"Real Time Strategy (RTS), Simulator, Strategy"
Stubbs the Zombie in Rebel Without a Pulse,2005,Wideload Games,Aspyr Media,Adventure
Stupid Invaders,2000,Ubisoft,Xilam,Adventure
Su-27 Flanker,1996,Eagle Dynamics,"Strategic Simulations, Inc.",Simulator
Submarine TITANS,2000,Ellipse Studios,Strategy First,"Real Time Strategy (RTS), Simulator, Strategy"
Subterranean Animism,2008,Team Shanghai Alice,Team Shanghai Alice,"Shooter, Indie"
Sudeki,2005,Climax Group,Microsoft Game Studios,"Role-playing (RPG), Adventure"
The Suffering,2004,Surreal Software,Midway Games,Role-playing (RPG)
The Suffering: Ties That Bind,2005,Surreal Software,Midway Games,Shooter
Summer Athletics,2008,49Games,Digital Entertainment Pool,Sport
Summoner,2000,Volition,THQ,"Simulator, Strategy, Turn-based strategy (TBS), Tactical, Adventure, Indie"
SunAge,2007,Vertex4,Lighthouse Interactive,"Real Time Strategy (RTS), Strategy, Indie"
Super Animal Royale,2021,Pixile Studios,Pixile Studios,"Shooter, Adventure, Indie, Arcade"
Super Bubble Pop,2002,Zombie Studios,Jaleco,"Puzzle, Strategy"
Super Columbine Massacre RPG!,2005,Danny Ledonne,,Role-playing (RPG)
Super Cosplay War Ultra,2004,Team FK,Team FK,Fighting
Super Luckys Tale,2017,Playful,Microsoft Studios,Adventure
Super Meat Boy,2010,Team Meat,Team Meat,"Platform, Adventure, Indie"
Super Puzzle Bobble,2000,Taito,"Acclaim Entertainment, Taito Corporation",Puzzle
Super Puzzle Fighter II Turbo,2007,Capcom,Capcom,"Fighting, Puzzle, Strategy"
Supercar Street Challenge,2001,Exakt Entertainment,Activision,Racing
SuperPower 2,2004,GolemLabs,DreamCatcher Interactive,"Simulator, Strategy"
Superstars V8 Racing,2009,Milestone srl,Black Bean Games,Racing
Supreme Commander,2007,Gas Powered Games,THQ,"Real Time Strategy (RTS), Strategy"
Supreme Commander 2,2010,Gas Powered Games,Square Enix,"Real Time Strategy (RTS), Strategy"
Supreme Commander: Forged Alliance,2007,Gas Powered Games,THQ,"Real Time Strategy (RTS), Strategy"
Supreme Ruler 2010,2005,BattleGoat Studios,Strategy First,"Simulator, Strategy"
Supreme Ruler 2020,2008,BattleGoat Studios,Paradox Interactive,"Real Time Strategy (RTS), Strategy"
Supreme Warrior,1994,Digital Pictures,Digital Pictures,Fighting
Surfs Up,2007,Ubisoft Quebec,Ubisoft,"Simulator, Strategy"
Survival Crisis Z,2004,Ska Studios,Ska Studios,Role-playing (RPG)
Survival Project,2003,IO Entertainment,"Happy Digi, HanbitSoft, et al.","Simulator, Strategy"
Survival: The Ultimate Challenge,2001,Techland Software,Activision Value,"Simulator, Strategy"
Suzuki Alstare Extreme Racing,1999,Criterion Games,Ubisoft,"Racing, Sport"
Sven Co-op,1999,Sven Co-op Team,,"Shooter, Indie"
Swamp Buggy Racing,2000,Daylight Productions,WizardWorks,Racing
Swarm,1998,Reflexive Entertainment,Reflexive Entertainment,Shooter
SWAT 3: Close Quarters Battle,1999,Sierra Northwest,Sierra Entertainment,"Shooter, Simulator, Strategy, Tactical"
SWAT 4,2005,Irrational Games,Vivendi Universal Games,"Shooter, Simulator, Strategy, Tactical"
Swing,1997,Software 2000,Software 2000,"Indie, Visual Novel"
Switchball,2007,Atomic Elbow,Sierra On-Line,"Simulator, Indie"
Sword of the Stars,2006,Kerberos Productions,"Paradox Interactive, Lighthouse Interactive","Role-playing (RPG), Strategy, Tactical, Indie"
Sword of the Stars: Born of Blood,2007,Kerberos Productions,"Paradox Interactive, Lighthouse Interactive","Strategy, Turn-based strategy (TBS), Tactical"
Syberia,2002,Microids,"Microids, 1C Company, The Adventure Company, Typhoon Games",Adventure
Syberia II,2004,MC2-Microids,"XS Games, LLC","Puzzle, Adventure"
Syberia III,2010,Microids,Microids,Adventure
Sydney 2000,2000,Attention to Detail,Eidos Interactive,Sport
"Sydney Mystery, The",2003,Twilight Software,Twilight Software,Adventure
Symbiocom,1998,Istvan Pely Productions,Bethesda Softworks,"Puzzle, Adventure"
Synthesia,2008,Nicholas Piegdon,,Music
System Shock: Enhanced Edition,2015,"Looking Glass Studios, Night Dive Studios",Night Dive Studios,"Shooter, Role-playing (RPG), Adventure"
System Shock 2,1999,"Irrational Games, Looking Glass Studios",Electronic Arts,"Shooter, Role-playing (RPG)"
Tabloid Tycoon,2005,ValuSoft,"ValuSoft, Global Software Publishing","Simulator, Strategy"
Tabula Rasa,2007,Destination Games,NCsoft,"Platform, Visual Novel"
Tachyon: The Fringe,2000,NovaLogic,NovaLogic,"Shooter, Simulator"
Tactical Ops: Assault on Terror,1999,Kamehan Studios,Infogrames,Shooter
Taito Legends,2005,Taito,"Empire Interactive, Sega","Shooter, Platform, Arcade"
Taito Legends 2,2007,Taito,"Empire Interactive, Destineer","Fighting, Shooter, Puzzle, Racing, Role-playing (RPG), Simulator, Sport, Strategy, Adventure, Arcade"
Take No Prisoners,1997,Raven Software,Red Orb Entertainment,Shooter
Takeda,2001,Magitech,"Xicat Interactive, Inc.","""Hack and slash/Beat em up"", Arcade"
A Tale in the Desert,2003,eGenesis,eGenesis,"Point-and-click, Role-playing (RPG)"
A Tale of Two Kingdoms,2007,Crystal Shard,Crystal Shard,"Point-and-click, Adventure, Indie"
Tales of Eternia Online,2006,"Namco, Dwango","Namco, Dwango",Role-playing (RPG)
Tales of Monkey Island,2009,Telltale Games,Telltale Games,"Point-and-click, Adventure"
Talvisota: Icy Hell,2007,Blitzfront Game Studio,"Nival Interactive, Blitzfront Game Studio","Real Time Strategy (RTS), Strategy"
Tank Universal,2008,Dialogue Design,Meridian4,"Shooter, Simulator, Indie"
Taptiles,2012,Arkadium,Microsoft Studios,Puzzle
Tarr Chronicles,2007,Quazar Studio,"Paradox Interactive, Akella, cdv Software",Simulator
Tasogare,2001,Leaf,Aquaplus,Role-playing (RPG)
Tasty Blue,2015,Dingo Games,Dingo Games,"Adventure, Indie, Arcade"
Team Fortress,1996,Team Fortress Software,,Shooter
Team Fortress 2,2007,Valve,Valve,Shooter
Team Fortress Classic,1999,Valve,Sierra Entertainment,Shooter
Team Sonic Racing,2019,Sumo Digital,Sega,"Racing, Arcade"
Teenage Mutant Ninja Turtles,2003,Konami,Konami,"""Hack and slash/Beat em up"""
Teenage Mutant Ninja Turtles 2: Battle Nexus,2004,Konami,Konami,"Racing, ""Hack and slash/Beat em up"""
Telengard,2002,Travis Baldree,,"Role-playing (RPG), Adventure"
Tempest 2000,1994,"Atari, Llamasoft",Atari,"Shooter, Arcade"
"Temple of Elemental Evil, The",2003,Troika Games,Atari,"Role-playing (RPG), Strategy"
